USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
_windowserver      367  13,6  0,8 413316000  69776   ??  Ss   18ноя25 981:26.73 /System/Library/PrivateFrameworks/SkyLight.framework/Resources/WindowServer -daemon
bhuikund         82872   3,6  1,2 417352160 103952   ??  R     6:39     4:30.92 /Applications/Telegram.app/Contents/MacOS/Telegram
bhuikund         58020   2,8  0,5 411798400  42144   ??  S    22янв26   0:14.15 /System/Applications/Utilities/Terminal.app/Contents/MacOS/Terminal
bhuikund         76702   2,0  0,6 1865780752  50288   ??  S     2мар26   0:43.37 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/145.0.7632.117/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer) --type=renderer --origin-trial-disabled-features=CanvasTextNg|WebAssemblyCustomDescriptors --lang=ru --num-raster-threads=4 --enable-zero-copy --enable-gpu-memory-buffer-compositor-resources --enable-main-frame-before-activation --renderer-client-id=52 --time-ticks-at-unix-epoch=-1771746579597116 --launch-time-ticks=392349692679 --shared-files --metrics-shmem-handle=1752395122,r,14895087238561397387,1914166426023471088,2097152 --field-trial-handle=1718379636,r,5799861745977105066,431013067418218464,262144 --variations-seed-version=20260224-170100.149000-production --trace-process-track-uuid=3190709035038047642 --seatbelt-client=191
bhuikund         74602   1,7  0,6 461175808  49760   ??  S    26фев26   1:18.17 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/145.0.7632.117/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper --type=utility --utility-sub-type=network.mojom.NetworkService --lang=ru --service-sandbox-type=network --shared-files --metrics-shmem-handle=1752395122,r,6574809517451412709,7064014245650639605,524288 --field-trial-handle=1718379636,r,5799861745977105066,431013067418218464,262144 --variations-seed-version=20260224-170100.149000-production --trace-process-track-uuid=3190708989122997041 --seatbelt-client=20
bhuikund         74590   1,6  1,5 511957536 125984   ??  S    26фев26   5:12.06 /Applications/Google Chrome.app/Contents/MacOS/Google Chrome
bhuikund         84148   1,1  3,0 420166320 251504   ??  S     9:06    18:15.92 /Applications/GIGA IDE CE 2024.2.app/Contents/MacOS/idea
bhuikund         85494   1,0  0,6 412175296  50144   ??  S    10:47     0:07.09 /Applications/Python 3.13/IDLE.app/Contents/MacOS/IDLE /Applications/Python 3.13/IDLE.app/Contents/Resources/idlemain.py
bhuikund         85391   0,7  0,2 411207408  20320   ??  S    10:37     0:00.68 /System/Library/CoreServices/Siri.app/Contents/MacOS/Siri launchd
bhuikund         85403   0,6  0,2 410383248  17328   ??  Ss   10:38     0:00.27 /System/Library/CoreServices/Siri.app/Contents/XPCServices/SiriNCService.xpc/Contents/MacOS/SiriNCService
bhuikund         47600   0,6  1,4 445183424 119104   ??  S     6янв26  81:53.42 /Applications/Yandex.app/Contents/MacOS/Yandex
bhuikund         74712   0,5  0,0 410780960   2560 s000  S    26фев26   0:00.17 -zsh
